gene_name,ensembl_id,top_tissue,max_pip,twas_z_pop1,chrom,tx_start,tx_stop,block
TOLLIP,ENSG00000078902,uterus,0.909,4.33,11,274370.0,2309654.0,11:70855-11:1192365
CENPV,ENSG00000166582,spleen,0.908,-5.38,17,15342533.0,17353499.0,17:15115780-17:16509028
NDUFA6,ENSG00000184983,esophagus_mucosa,0.908,1.16,22,41085524.0,43090930.0,22:40149793-22:42294812
ADAMTS13,ENSG00000160323,prostate,0.907,2.82,9,132414357.0,134459402.0,9:136047132-9:136605890
UTP20,ENSG00000120800,muscle_skeletal,0.906,3.88,12,100280108.0,102386616.0,12:101468912-12:102571208
TTYH3,ENSG00000136295,brain_limbic,0.906,-4.73,7,1631950.0,3664802.0,7:2732593-7:4533797
CEP170P1,ENSG00000154608,brain_spinal_cord_cervical_c-1,0.905,-3.71,4,117467589.0,119554100.0,4:119471529-4:121736832
HDAC3,ENSG00000171720,cells_cultured_fibroblasts,0.905,-7.31,5,140620875.0,142636870.0,5:141266403-5:143601683
AC093690.1,ENSG00000223522,brain_basalganglia,0.904,4.63,2,27307690.0,29310459.0,2:26672117-2:28375910
ADAMTS19,ENSG00000145808,muscle_skeletal,0.904,-3.86,5,128460264.0,130738683.0,5:128008912-5:130183332
C16orf45,ENSG00000166780,whole_blood,0.904,-3.14,16,14434294.0,16625015.0,16:14370145-16:16060203
RP11-96C23.11,ENSG00000261011,skin_not_sun_exposed_suprapubic,0.903,2.02,10,86001635.0,88009784.0,10:87367307-10:89253624
RP11-568J23.8,ENSG00000275393,testis,0.902,3.96,16,84697334.0,86697868.0,16:85115079-16:86122993
ADSS,ENSG00000035687,thyroid,0.901,-3.8,1,243408493.0,245452134.0,1:243946197-1:245343444
KRT8P46,ENSG00000248971,artery_aorta,0.9,5.26,4,101728745.0,103730171.0,4:102300199-4:104384137
RERG,ENSG00000134533,lung,0.899,-0.674,12,14107782.0,16348675.0,12:12580594-12:15088550
G3BP1,ENSG00000145907,brain_cerebellum,0.899,4.4,5,150771044.0,152812785.0,5:151181737-5:153488214
ZNF266,ENSG00000174652,brain_limbic,0.896,-5.75,19,8412597.0,10435578.0,19:9127717-19:11173352
AP1S3,ENSG00000152056,nerve_tibial,0.896,5.58,2,222751685.0,224838027.0,2:223994702-2:224975287
RNU6ATAC18P,ENSG00000221340,adipose_subcutaneous,0.894,-4.04,1,11569971.0,13570072.0,1:11717784-1:12719464
TPRA1,ENSG00000163870,colon_sigmoid,0.894,4.16,3,126573068.0,128598222.0,3:126496100-3:128476018
SPTBN1,ENSG00000115306,artery_tibial,0.893,-3.18,2,53456284.0,55671445.0,2:53281314-2:54458089
LRRC37A15P,ENSG00000230069,adrenal_gland,0.892,1.76,4,101727273.0,103730721.0,4:102300199-4:104384137
TPD52,ENSG00000076554,pancreas,0.892,-4.48,8,79034744.0,81231232.0,8:81044160-8:81781504
EIF2S2P3,ENSG00000236493,spleen,0.891,5.57,10,91668744.0,93669743.0,10:94461486-10:96062600
DMPK,ENSG00000104936,prostate,0.891,3.25,19,44769716.0,46782552.0,19:45599439-19:46646825
ZBTB38,ENSG00000177311,whole_blood,0.89,4.05,3,140324212.0,142449792.0,3:140235755-3:141620255
RP1-15D23.2,ENSG00000224228,colon_transverse,0.888,4.63,1,171775904.0,174064015.0,1:170588635-1:173128768
NR2F1,ENSG00000175745,esophagus_muscularis,0.887,3.95,5,92583336.0,94594615.0,5:91126837-5:92504835
MIR4435-2HG,ENSG00000172965,nerve_tibial,0.887,3.35,2,110196349.0,112495100.0,2:109814855-2:113164279
PBX3,ENSG00000167081,heart_atrial_appendage,0.883,5.34,9,124747344.0,126967377.0,9:127293231-9:129403191
RNASET2,ENSG00000026297,esophagus_mucosa,0.882,4.15,6,165929503.0,167957184.0,6:166611245-6:167642155
SYBU,ENSG00000147642,stomach,0.882,4.85,8,108573977.0,110691791.0,8:109472085-8:110838618
MSRA,ENSG00000175806,brain_spinal_cord_cervical_c-1,0.882,-3.93,8,9054267.0,11428891.0,8:9297184-8:9783277
CHST12,ENSG00000136213,heart_atrial_appendage,0.881,-3.59,7,1403559.0,3448483.0,7:2022763-7:2732593
RP11-480I12.9,ENSG00000234996,esophagus_mucosa,0.881,3.2,1,201861753.0,203875241.0,1:201620847-1:203365606
RP5-1057I20.5,ENSG00000276691,breast_mammary_tissue,0.879,-5.93,12,46788425.0,48788971.0,12:47321010-12:48608083
LINC00327,ENSG00000232977,artery_aorta,0.879,4.1,13,22466570.0,24487464.0,13:23957798-13:25210224
BORCS5,ENSG00000165714,nerve_tibial,0.877,-4.02,12,11357078.0,13469694.0,12:12580594-12:15088550
AC108463.2,ENSG00000227992,artery_aorta,0.876,-6.33,2,110203963.0,112206204.0,2:109814855-2:113164279
GVINP1,ENSG00000254838,heart_left_ventricle,0.876,4.07,11,5713535.0,7746439.0,11:6301639-11:7415470
RARS,ENSG00000113643,brain_cerebellum,0.876,4.11,5,167486444.0,169519299.0,5:167420735-5:169098313
LOH12CR2,ENSG00000205791,prostate,0.876,3.71,12,11355405.0,13357067.0,12:11601912-12:12580594
CDT1,ENSG00000167513,pituitary,0.874,4.06,16,87803212.0,89809258.0,16:88974757-16:90226404
ATP5G1,ENSG00000159199,cells_cultured_fibroblasts,0.873,7.32,17,47892764.0,49895871.0,17:44979537-17:47798656
AKIRIN1,ENSG00000174574,testis,0.872,-4.16,1,37991222.0,40006059.0,1:38266175-1:39734895
RP5-855D21.2,ENSG00000273402,testis,0.871,-1.37,8,-762956.0,1237669.0,8:60422-8:1094217
RP1L1,ENSG00000183638,esophagus_muscularis,0.869,2.15,8,9606348.0,11712187.0,8:10605687-8:11421489
SCML4,ENSG00000146285,liver,0.869,3.89,6,106704103.0,108824317.0,6:108143176-6:109983044
RP11-333A23.4,ENSG00000253967,thyroid,0.867,3.7,8,69471144.0,71485687.0,8:71377219-8:72904964
MFN2,ENSG00000116688,esophagus_muscularis,0.867,-3.85,1,10980180.0,13013514.0,1:11717784-1:12719464
MICAL3,ENSG00000243156,pancreas,0.866,4.13,22,16787648.0,19024559.0,22:17813322-22:19924835
LINC01436,ENSG00000231106,esophagus_muscularis,0.865,-3.76,21,35005337.0,37007838.0,21:36498481-21:37339402
PRDX1,ENSG00000117450,brain_basalganglia,0.865,5.04,1,44514506.0,46523047.0,1:44503511-1:46433829
MEI1,ENSG00000167077,artery_tibial,0.863,-5.54,22,40699498.0,42799456.0,22:40149793-22:42294812
DOK6,ENSG00000206052,spleen,0.86,4.9,18,68401054.0,70849087.0,18:66585564-18:68458580
NEK6,ENSG00000119408,skin_sun_exposed_lower_leg,0.859,-7.16,9,123257605.0,125353307.0,9:126297386-9:127293231
DSCC1,ENSG00000136982,thyroid,0.859,2.05,8,118833975.0,120856010.0,8:120189461-8:123849219
MRPS23,ENSG00000181610,cells_cultured_fibroblasts,0.859,3.77,17,56834780.0,58850056.0,17:55522071-17:57280180
MASP1,ENSG00000127241,lung,0.859,-4.36,3,186217284.0,188292022.0,3:187172556-3:189138425
RP5-821D11.7,ENSG00000184068,testis,0.858,0.876,22,40831214.0,42834665.0,22:42294812-22:43318194
KIFAP3,ENSG00000075945,artery_coronary,0.856,-3.94,1,168921325.0,171085208.0,1:169117086-1:170588635
SLC1A2,ENSG00000110436,stomach,0.853,-4.09,11,34251205.0,36420063.0,11:33937192-11:35481057
LINC01807,ENSG00000232023,adrenal_gland,0.853,-3.85,2,227483260.0,229611395.0,2:228506071-2:230978674
TSEN34,ENSG00000170892,colon_sigmoid,0.852,1.95,19,53189937.0,55194536.0,19:54099074-19:55216712
FTCDNL1,ENSG00000226124,esophagus_mucosa,0.852,-4.23,2,198760543.0,200851173.0,2:200711561-2:201953914
METTL15,ENSG00000169519,cells_cultured_fibroblasts,0.851,3.65,11,27108308.0,29527041.0,11:28460046-11:30119810
RP11-617F23.1,ENSG00000259291,heart_left_ventricle,0.85,1.95,15,89074536.0,91082207.0,15:89932319-15:91621162
RPS18,ENSG00000231500,adipose_subcutaneous,0.849,7.9,6,32272047.0,34276510.0,6:32714887-6:33268720
CENPE,ENSG00000138778,thyroid,0.849,-3.93,4,102105805.0,104198409.0,4:104384137-4:106580148
COL24A1,ENSG00000171502,breast_mammary_tissue,0.849,3.74,1,84729232.0,87156943.0,1:85989068-1:87662948
SDHAP1,ENSG00000185485,adipose_subcutaneous,0.847,-5.7,3,194959747.0,196990305.0,3:195065945-3:196244537
CH17-437K3.1,ENSG00000227082,adrenal_gland,0.845,-2.03,1,120396753.0,122463129.0,1:118296444-1:148907004
C5orf56,ENSG00000197536,esophagus_muscularis,0.844,-2.29,5,131410635.0,133488702.0,5:130183332-5:132803957
GOLGA6L9,ENSG00000197978,brain_spinal_cord_cervical_c-1,0.843,1.64,15,81430019.0,83436762.0,15:83591716-15:86109674
CD46,ENSG00000117335,brain_substantia_nigra,0.843,-3.64,1,206752056.0,208795513.0,1:208237019-1:210614406
AC091801.1,ENSG00000217455,vagina,0.842,4.18,7,2140233.0,4174654.0,7:2732593-7:4533797
AC092155.4,ENSG00000226622,brain_limbic,0.842,3.85,2,61590254.0,63662654.0,2:62201909-2:64398779
ZBTB22,ENSG00000236104,adipose_visceral_omentum,0.836,-8.59,6,32314405.0,34317942.0,6:32714887-6:33268720
PRR5L,ENSG00000135362,artery_tibial,0.835,-3.8,11,35296287.0,37465204.0,11:35481057-11:37095265
TUBG2,ENSG00000037042,muscle_skeletal,0.83,2.48,17,41659304.0,43667006.0,17:40721152-17:41743558
POU3F3,ENSG00000198914,artery_aorta,0.828,3.76,2,103855510.0,105858574.0,2:104508576-2:105593601
NUDC,ENSG00000090273,esophagus_muscularis,0.827,-4.26,1,25902281.0,27946862.0,1:25190354-1:27075376
ANKRD18DP,ENSG00000226435,brain_cortex,0.827,3.12,3,197053521.0,199080720.0,3:197349116-3:198219751
HERC2P9,ENSG00000206149,adipose_visceral_omentum,0.827,3.42,15,27590188.0,29685264.0,15:29046299-15:29873365
FLJ22447,ENSG00000232774,heart_left_ventricle,0.824,3.85,14,60570653.0,62658696.0,14:61213706-14:63323296
GINM1,ENSG00000055211,artery_aorta,0.82,0.926,6,148566293.0,150591748.0,6:148599216-6:149932268
CTC-465D4.1,ENSG00000256499,artery_aorta,0.818,3.68,12,19120979.0,21129813.0,12:17934939-12:20711009
KIZ,ENSG00000088970,adipose_visceral_omentum,0.818,-4.99,20,20125982.0,22246622.0,20:20979069-20:22510818
CHTOP,ENSG00000160679,muscle_skeletal,0.817,0.415,1,152634110.0,154646306.0,1:153208353-1:154797927
MLLT10,ENSG00000078403,skin_sun_exposed_lower_leg,0.816,-5.35,10,20524674.0,22743630.0,10:19427949-10:22483354
MMP16,ENSG00000156103,skin_not_sun_exposed_suprapubic,0.816,3.63,8,87032008.0,89328025.0,8:88073253-8:89625933
JAZF1,ENSG00000153814,heart_atrial_appendage,0.814,4.52,7,26830572.0,29180743.0,7:25869935-7:28320690
RP11-16P6.1,ENSG00000261428,skin_not_sun_exposed_suprapubic,0.814,2.09,2,221566898.0,223569719.0,2:221656456-2:223994702
RP11-567M16.6,ENSG00000274828,heart_left_ventricle,0.813,-4.2,18,78677286.0,80679358.0,18:77101859-18:78216317
ASAP1-IT2,ENSG00000280543,thyroid,0.813,3.5,8,129082737.0,131084768.0,8:129368893-8:130627379
TRIM66,ENSG00000166436,pituitary,0.81,3.88,11,7612036.0,9671866.0,11:8311727-11:9065770
TLL1,ENSG00000038295,brain_limbic,0.807,-2.86,4,164873257.0,167103895.0,4:166097706-4:166931766
CTD-2376I4.2,ENSG00000272081,skin_sun_exposed_lower_leg,0.807,3.93,5,71955205.0,73955699.0,5:68555033-5:71944629
HOTAIRM1,ENSG00000233429,minor_salivary_gland,0.805,-4.69,7,26096093.0,28100265.0,7:25869935-7:28320690
ERAP1,ENSG00000164307,adrenal_gland,0.804,2.43,5,95760809.0,97808100.0,5:94474279-5:96627815
SREK1IP1,ENSG00000153006,skin_not_sun_exposed_suprapubic,0.803,3.21,5,63718143.0,65768685.0,5:63923160-5:64672477
VTA1,ENSG00000009844,brain_limbic,0.802,-4.95,6,141147161.0,143224689.0,6:141967342-6:144998674
AC003075.4,ENSG00000237773,artery_tibial,0.801,-3.88,7,16279833.0,18299357.0,7:16862445-7:19441924
MED1,ENSG00000125686,adrenal_gland,0.8,-2.99,17,38404284.0,40451286.0,17:36141651-17:38653091
LINC01232,ENSG00000280734,brain_basalganglia,0.8,-2.45,13,98486961.0,100499306.0,13:99921841-13:101648173
MXD3,ENSG00000213347,brain_basalganglia,0.798,-2.31,5,176305499.0,178312757.0,5:176023592-5:177824506
TCTEX1D2,ENSG00000213123,colon_sigmoid,0.798,-6.91,3,195291218.0,197318299.0,3:196244537-3:197349116
CNN2,ENSG00000064666,brain_cerebellum,0.795,-4.87,19,26580.0,2039068.0,19:610729-19:2098397
HTR1D,ENSG00000179546,lung,0.789,4.0,1,22191894.0,24194729.0,1:23594100-1:25190354
RP11-692D12.1,ENSG00000250220,skin_not_sun_exposed_suprapubic,0.789,-3.85,4,72259208.0,74317953.0,4:73726673-4:76209554
ERVK13-1,ENSG00000260565,stomach,0.788,2.93,16,1660348.0,3673444.0,16:1157206-16:2714828
PGD,ENSG00000142657,prostate,0.787,3.85,1,9398591.0,11420144.0,1:9305140-1:10746927
LYRM7,ENSG00000186687,brain_spinal_cord_cervical_c-1,0.786,-6.81,5,130170809.0,132205426.0,5:128008912-5:130183332
LINC00299,ENSG00000236790,liver,0.786,-3.5,2,7007770.0,9383621.0,2:8282017-2:10158342
RP11-15I11.3,ENSG00000226251,esophagus_mucosa,0.785,-4.86,1,211225277.0,213238977.0,1:210614406-1:212668988
RP11-16B13.1,ENSG00000258553,testis,0.784,2.95,14,58969115.0,61091783.0,14:58981618-14:61213706
RP11-23P13.6,ENSG00000174171,breast_mammary_tissue,0.783,4.34,15,40892792.0,42895938.0,15:40885316-15:42484201
RP11-973N13.4,ENSG00000259116,esophagus_muscularis,0.783,-4.74,14,63514153.0,65540368.0,14:64753580-14:65932837
RP11-158H5.7,ENSG00000268573,cells_ebv-transformed_lymphocytes,0.781,4.19,18,34280866.0,36285177.0,18:30286513-18:32684103
GATA2-AS1,ENSG00000244300,brain_basalganglia,0.781,5.44,3,127489211.0,129502348.0,3:128476018-3:130525891
RP11-830F9.7,ENSG00000261226,heart_atrial_appendage,0.78,-4.63,16,87936778.0,89939651.0,16:87613743-16:88974757
ALDH18A1,ENSG00000059573,cells_cultured_fibroblasts,0.779,4.45,10,94605928.0,96656706.0,10:96062600-10:98481545
BCL2,ENSG00000171791,heart_left_ventricle,0.778,-5.19,18,62123345.0,64320128.0,18:59963251-18:61353518
NFKBIB,ENSG00000104825,brain_spinal_cord_cervical_c-1,0.778,4.11,19,37899951.0,39908893.0,19:37036131-19:39679979
ARHGAP12,ENSG00000165322,adipose_visceral_omentum,0.778,3.87,10,30805403.0,32928876.0,10:31618591-10:33419040
TMEM176B,ENSG00000106565,artery_coronary,0.777,-3.44,7,149791284.0,151801360.0,7:150143569-7:151014417
CLIC4,ENSG00000169504,adrenal_gland,0.776,-4.27,1,23745356.0,25844324.0,1:23594100-1:25190354
KCNMB4,ENSG00000135643,adipose_subcutaneous,0.775,-3.72,12,69366275.0,71434292.0,12:69432762-12:70564207
MRPL48,ENSG00000175581,cells_ebv-transformed_lymphocytes,0.775,3.6,11,72787315.0,74865133.0,11:72574973-11:74701306
LINC01876,ENSG00000226383,skin_not_sun_exposed_suprapubic,0.774,-3.1,2,155011529.0,157254950.0,2:156704123-2:157676706
PNPLA5,ENSG00000100341,brain_cortex,0.774,-3.64,22,42879677.0,44892013.0,22:43318194-22:44599428
MAML3,ENSG00000196782,testis,0.772,-3.26,4,138716752.0,141154184.0,4:140163477-4:142522112
CPNE3,ENSG00000085719,adrenal_gland,0.771,3.6,8,85514426.0,87561498.0,8:86399480-8:88073253
GS1-57L11.1,ENSG00000253853,colon_sigmoid,0.77,3.31,8,1727317.0,3822482.0,8:2095102-8:2715741
PSMD5-AS1,ENSG00000226752,esophagus_muscularis,0.768,-5.8,9,119824827.0,121854385.0,9:122109043-9:124209608
SYT2,ENSG00000143858,adipose_subcutaneous,0.768,1.25,1,201592706.0,203710417.0,1:201620847-1:203365606
NDFIP1,ENSG00000131507,artery_tibial,0.765,7.11,5,141108504.0,143154443.0,5:141266403-5:143601683
CBFA2T3,ENSG00000129993,heart_atrial_appendage,0.764,-2.52,16,87874857.0,89977204.0,16:88974757-16:90226404
FAM162B,ENSG00000183807,colon_transverse,0.763,4.07,6,115752196.0,117765723.0,6:115810232-6:117351809
SFMBT1,ENSG00000163935,spleen,0.763,4.18,3,51903571.0,54046068.0,3:51797999-3:54047363
RPN1,ENSG00000163902,heart_atrial_appendage,0.763,4.05,3,127619969.0,129681075.0,3:126496100-3:128476018
RCOR1,ENSG00000089902,whole_blood,0.763,3.82,14,101592660.0,103730576.0,14:102545765-14:104535386
NECTIN3,ENSG00000177707,cells_cultured_fibroblasts,0.761,3.31,3,110070070.0,112275563.0,3:109803548-3:110794923
SPINK5,ENSG00000133710,nerve_tibial,0.761,-4.71,5,147025682.0,149137289.0,5:147802435-5:149283061
RP11-153I24.5,ENSG00000283384,whole_blood,0.759,-2.5,13,107335353.0,109448316.0,13:108468862-13:109162764
EIF3E,ENSG00000104408,artery_tibial,0.758,-2.26,8,107201742.0,109435333.0,8:108235944-8:109472085
SLC16A9,ENSG00000165449,colon_transverse,0.757,2.89,10,58650760.0,60736002.0,10:60899921-10:61581937
GRIP1,ENSG00000155974,skin_not_sun_exposed_suprapubic,0.757,3.09,12,65347645.0,67804186.0,12:66787364-12:67515949
TEX41,ENSG00000226674,breast_mammary_tissue,0.757,3.21,2,143667966.0,146262988.0,2:145688002-2:146519594
RP11-396F22.1,ENSG00000257718,adrenal_gland,0.755,-3.54,12,37906450.0,39909592.0,12:38833367-12:40422383
C1orf106,ENSG00000163362,skin_not_sun_exposed_suprapubic,0.753,3.75,1,199891047.0,201915735.0,1:200168521-1:201620847
LINC02018,ENSG00000272690,spleen,0.751,-3.54,3,74435347.0,76457486.0,3:74272666-3:75655798
CD2AP,ENSG00000198087,cells_cultured_fibroblasts,0.746,-3.46,6,46477788.0,48627263.0,6:47344162-6:48423389
AQP5,ENSG00000161798,lung,0.744,-6.15,12,48961869.0,50965681.0,12:48608083-12:51382710
RP11-114H24.2,ENSG00000260776,testis,0.743,-4.56,15,76914216.0,78926846.0,15:76106283-15:78223711
NR2C1,ENSG00000120798,brain_limbic,0.743,3.79,12,94020228.0,96073703.0,12:94120791-12:95627009
TPTE2P2,ENSG00000272281,artery_coronary,0.742,3.18,13,51219343.0,53334277.0,13:52765487-13:54108729
GYPE,ENSG00000197465,adipose_visceral_omentum,0.74,3.58,4,142870866.0,144905563.0,4:145257035-4:147600722
ATM,ENSG00000149311,heart_left_ventricle,0.739,-3.61,11,107222483.0,109369102.0,11:107973474-11:108566310
PHF14,ENSG00000106443,thyroid,0.738,-3.32,7,9973871.0,12169630.0,7:9947872-7:11259571
RP11-643A5.3,ENSG00000280362,skin_not_sun_exposed_suprapubic,0.737,2.05,15,52910768.0,54914712.0,15:54216331-15:54844071
FEZ2,ENSG00000171055,nerve_tibial,0.737,-3.59,2,35531804.0,37646087.0,2:35896940-2:37905569
ATP13A4-AS1,ENSG00000225473,lung,0.736,-3.56,3,192553212.0,194554739.0,3:192626025-3:194338942
PRR22,ENSG00000212123,artery_aorta,0.734,-3.57,19,4782959.0,6784765.0,19:5811841-19:6684874
LINC00392,ENSG00000228295,testis,0.734,-4.31,13,72564243.0,74588070.0,13:73359952-13:75096006
KRT23,ENSG00000108244,colon_transverse,0.733,2.2,17,39922695.0,41937634.0,17:36141651-17:38653091
GADD45G,ENSG00000130222,skin_sun_exposed_lower_leg,0.733,-3.66,9,88605012.0,90606555.0,9:91404921-9:93909416
ALG2,ENSG00000119523,adipose_subcutaneous,0.732,3.94,9,98216425.0,100221956.0,9:98830577-9:101862155
RP3-518E13.2,ENSG00000260990,testis,0.732,-3.6,1,174307217.0,176335459.0,1:175120632-1:177464245
RP11-309L24.10,ENSG00000275106,adipose_visceral_omentum,0.732,4.23,7,127952526.0,129953316.0,7:127229167-7:129138332
ANO7L1,ENSG00000237276,esophagus_muscularis,0.729,-3.58,1,15215908.0,17228027.0,1:14565015-1:16571235
TBRG4,ENSG00000136270,breast_mammary_tissue,0.728,-3.34,7,44100099.0,46112047.0,7:44724229-7:45913323
AHI1,ENSG00000135541,nerve_tibial,0.728,-6.76,6,134283531.0,136497776.0,6:135903039-6:137293081
MAMDC2-AS1,ENSG00000204706,testis,0.726,3.55,9,69033920.0,71175888.0,9:71638124-9:73589030
ZCCHC14,ENSG00000140948,testis,0.724,-3.83,16,86406245.0,88492045.0,16:86781805-16:87613743
AGAP3,ENSG00000133612,muscle_skeletal,0.723,-5.32,7,150085830.0,152144436.0,7:150143569-7:151014417
ZNF618,ENSG00000157657,skin_sun_exposed_lower_leg,0.721,-3.7,9,112876281.0,115056591.0,9:115159681-9:118559259
ARSJ,ENSG00000180801,cells_cultured_fibroblasts,0.718,3.23,4,112900283.0,114979727.0,4:114745090-4:116355773
RP11-430H10.1,ENSG00000254427,colon_sigmoid,0.716,4.44,11,44355370.0,46366121.0,11:44672249-11:46984586
ZNF236,ENSG00000130856,nerve_tibial,0.716,-3.39,18,75822606.0,77970727.0,18:74304227-18:75815032
ZNF197,ENSG00000186448,artery_aorta,0.714,-1.35,3,43584887.0,45648471.0,3:42498510-3:45123661
CACNG1,ENSG00000108878,muscle_skeletal,0.713,-3.36,17,66044589.0,68056797.0,17:65152010-17:66804312
LIN52,ENSG00000205659,artery_aorta,0.712,2.1,14,73084795.0,75201235.0,14:72422907-14:75978424
RP11-124N19.4,ENSG00000283075,esophagus_muscularis,0.712,-3.29,13,21931536.0,23931999.0,13:23020563-13:23957798
PFKP,ENSG00000067057,lung,0.711,3.11,10,2066332.0,4137712.0,10:3310507-10:4530082
ZNF239,ENSG00000196793,heart_left_ventricle,0.71,3.76,10,42556343.0,44574618.0,10:43399323-10:44234627
C15orf57,ENSG00000128891,brain_substantia_nigra,0.709,0.875,15,39528682.0,41565057.0,15:40091931-15:40885316
SPEF2,ENSG00000152582,spleen,0.709,3.3,5,34617843.0,36814611.0,5:35048865-5:36433852
GKAP1,ENSG00000165113,spleen,0.708,3.41,9,82739420.0,84829516.0,9:85975502-9:87521331
STEAP1B,ENSG00000105889,lung,0.705,-5.31,7,21419443.0,23632925.0,7:22468010-7:23431823
LINGO4,ENSG00000213171,skin_sun_exposed_lower_leg,0.705,5.23,1,150800263.0,152806070.0,1:151566405-1:153208353
CEP170B,ENSG00000099814,breast_mammary_tissue,0.704,-5.4,14,103865279.0,105896770.0,14:104535386-14:105874495
SUN1,ENSG00000164828,lung,0.704,-4.07,7,-183386.0,1874920.0,7:933116-7:1313431
SDR9C7,ENSG00000170426,esophagus_mucosa,0.703,-6.77,12,55923153.0,57934405.0,12:57155077-12:58914885
CNIH4,ENSG00000143771,colon_transverse,0.703,3.64,1,223356849.0,225379459.0,1:222056878-1:224750818
C7,ENSG00000112936,skin_not_sun_exposed_suprapubic,0.702,-3.29,5,39909251.0,41982939.0,5:40287627-5:41888608
PSD4,ENSG00000125637,adrenal_gland,0.701,-3.79,2,112157324.0,114209396.0,2:113164279-2:116014894
TPCN2,ENSG00000162341,prostate,0.701,3.75,11,68048896.0,70162440.0,11:68238358-11:69701362
RP11-49G2.3,ENSG00000274624,adrenal_gland,0.7,-3.71,12,21104490.0,23105320.0,12:20711009-12:23667700
LFNG,ENSG00000106003,colon_transverse,0.7,-3.18,7,1512528.0,3529177.0,7:2022763-7:2732593
LINC01788,ENSG00000229051,testis,0.7,-2.87,1,69706452.0,71786468.0,1:70906787-1:71218722
ACAT1,ENSG00000075239,spleen,0.7,3.68,11,107121750.0,109147776.0,11:106650168-11:107973474
MED27,ENSG00000160563,whole_blood,0.699,-3.74,9,130860106.0,133079908.0,9:134697518-9:136047132
UFSP1,ENSG00000176125,esophagus_muscularis,0.699,1.77,7,99888722.0,101889718.0,7:99117851-7:100599028
CADM1,ENSG00000182985,thyroid,0.698,-3.31,11,114169217.0,116504957.0,11:114959946-11:116512631
CDK2AP1,ENSG00000111328,colon_transverse,0.698,-3.31,12,122261483.0,124272334.0,12:121569746-12:124493434
GOLGA3,ENSG00000090615,colon_transverse,0.697,3.82,12,131768908.0,133828858.0,12:132236187-12:133264925
RP11-364B6.2,ENSG00000215869,brain_cerebellum,0.696,3.54,1,103072982.0,105226678.0,1:103371589-1:105545220
KCTD10,ENSG00000110906,esophagus_mucosa,0.696,-3.83,12,108448655.0,110477401.0,12:108632125-12:109898914
ZNF860,ENSG00000197385,colon_sigmoid,0.695,-3.44,3,30981770.0,32991628.0,3:30676463-3:32310223
KAT14,ENSG00000149474,esophagus_mucosa,0.694,-3.6,20,17138117.0,19188387.0,20:17506587-20:18991559
MTND3P9,ENSG00000227557,whole_blood,0.694,-3.88,2,142098483.0,144098829.0,2:143761915-2:145688002
FBP2,ENSG00000130957,liver,0.692,4.13,9,93558719.0,95593793.0,9:96159758-9:98830577
ARHGAP42,ENSG00000165895,pancreas,0.69,-2.86,11,99738442.0,101991937.0,11:100546438-11:101460390
SLC45A4,ENSG00000022567,esophagus_mucosa,0.689,3.64,8,140207165.0,142308305.0,8:141963553-8:143155464
ID2,ENSG00000115738,heart_left_ventricle,0.688,-3.31,2,7678853.0,9684453.0,2:8282017-2:10158342
ERP27,ENSG00000139055,vagina,0.687,-3.54,12,13914034.0,15939082.0,12:12580594-12:15088550
GLDC,ENSG00000178445,lung,0.686,3.74,9,5532463.0,7645783.0,9:6557589-9:7154923
EYA4,ENSG00000112319,lung,0.686,3.54,6,132240597.0,134532120.0,6:132444530-6:133923105
VAV3-AS1,ENSG00000230489,spleen,0.685,3.91,1,106964442.0,108994607.0,1:107867043-1:109761309
RP11-390F4.3,ENSG00000225489,adipose_visceral_omentum,0.681,7.58,9,5716494.0,7727438.0,9:4884926-9:6557589
HAAO,ENSG00000162882,liver,0.68,3.5,2,41767088.0,43792592.0,2:43082452-2:44086664
NRBP1,ENSG00000115216,nerve_tibial,0.679,3.75,2,26427789.0,28442259.0,2:26672117-2:28375910
ANKRD44,ENSG00000065413,brain_cerebellum,0.678,3.53,2,195967016.0,198311173.0,2:197213386-2:198446401
RARS2,ENSG00000146282,nerve_tibial,0.676,-3.9,6,86514377.0,88590003.0,6:86359782-6:88112422
TBCK,ENSG00000145348,brain_basalganglia,0.676,-4.33,4,105041598.0,107321495.0,4:106580148-4:107894192
CCND3,ENSG00000112576,cells_cultured_fibroblasts,0.674,4.16,6,40934932.0,43050357.0,6:40377376-6:42070983
ITPKC,ENSG00000086544,skin_sun_exposed_lower_leg,0.673,-4.75,19,39717102.0,41740855.0,19:40478694-19:41625199
RP11-252K23.2,ENSG00000261783,esophagus_mucosa,0.671,-4.05,16,74379817.0,76381260.0,16:74937605-16:75944056
GRAMD4,ENSG00000075240,esophagus_mucosa,0.669,-3.45,22,45576011.0,47679790.0,22:46074615-22:47200568
NCR3LG1,ENSG00000188211,heart_left_ventricle,0.669,-2.74,11,16351725.0,18377341.0,11:15721006-11:17556855
MEOX2-AS1,ENSG00000229108,adipose_visceral_omentum,0.669,3.47,7,14688377.0,16695491.0,7:15104032-7:16862445
RP11-354K4.2,ENSG00000271945,brain_limbic,0.668,2.67,6,75774982.0,77775860.0,6:76705164-6:78248011
IGSF10,ENSG00000152580,pituitary,0.667,-3.59,3,150425383.0,152458709.0,3:150534217-3:151630942
ADGRF3,ENSG00000173567,adipose_subcutaneous,0.667,3.64,2,25308172.0,27346588.0,2:24464049-2:26672117
