gene_name,ensembl_id,top_cell_type,max_pip,twas_z_pop1,chrom,tx_start,tx_stop,block
VSTM1,ENSG00000189068,cd16_mono,0.321,3.41,19,53040824.0,55063953.0,19:52482037-19:54099074
LLPH,ENSG00000139233,gdt,0.32,-2.94,12,65116554.0,67130750.0,12:65165915-12:66787364
DOCK8,ENSG00000107099,nk,0.315,-2.83,9,-779253.0,1465259.0,9:10023-9:1079707
PAFAH1B1,ENSG00000007168,b_naive,0.315,3.27,17,1593209.0,3685615.0,17:2025437-17:3799018
SNRK,ENSG00000163788,cd8_naive,0.314,-3.23,3,42286511.0,44424764.0,3:42498510-3:45123661
YWHAQ,ENSG00000134308,cd4_ctl,0.312,-3.23,2,8583971.0,10631014.0,2:8282017-2:10158342
BCCIP,ENSG00000107949,cd16_mono,0.309,-3.0,10,124823545.0,126853695.0,10:124109830-10:126312529
IL16,ENSG00000172349,cd4_tcm,0.309,-3.25,15,80159574.0,82314058.0,15:80568637-15:83591716
SRRM1,ENSG00000133226,cd4_tcm,0.307,2.36,1,23631715.0,25673267.0,1:23594100-1:25190354
PTGER4,ENSG00000171522,cd4_tcm,0.306,-2.7,5,39679497.0,41693735.0,5:40287627-5:41888608
HNRNPM,ENSG00000099783,cd8_tem,0.306,3.06,19,7455404.0,9489114.0,19:8282629-19:9127717
PSTPIP1,ENSG00000140368,cd8_tcm,0.299,-3.76,15,75993358.0,78037332.0,15:76106283-15:78223711
SMAP1,ENSG00000112305,cd16_mono,0.299,2.79,6,69667775.0,71862015.0,6:68813556-6:70899807
RBPJ,ENSG00000168214,cd4_tcm,0.298,-2.64,4,25163454.0,27435131.0,4:25607700-4:27342100
ELF1,ENSG00000120690,cd4_tcm,0.297,2.91,13,39932027.0,42061273.0,13:38304026-13:40495126
VAMP8,ENSG00000118640,cd16_mono,0.296,-3.51,2,84561561.0,86582031.0,2:84913556-2:87738988
MLLT6,ENSG00000275023,cd4_tem,0.295,2.94,17,37705541.0,39729803.0,17:36141651-17:38653091
ID2,ENSG00000115738,cd8_tem,0.293,2.91,2,7678853.0,9684453.0,2:8282017-2:10158342
IAH1,ENSG00000134330,cd8_naive,0.293,3.21,2,8473657.0,10496543.0,2:8282017-2:10158342
CAP1,ENSG00000131236,cd4_naive,0.292,2.74,1,39040232.0,41072649.0,1:38266175-1:39734895
TEX264,ENSG00000164081,b_memory,0.291,4.79,3,50671174.0,52704323.0,3:49279539-3:51797999
SLC25A37,ENSG00000147454,b_memory,0.29,2.69,8,22528804.0,24575463.0,8:23039544-8:24817205
MAD1L1,ENSG00000002822,cd16_mono,0.29,-2.69,7,815792.0,3233243.0,7:2022763-7:2732593
RAB11B,ENSG00000185236,cd8_tem,0.288,3.03,19,7389980.0,9404434.0,19:8282629-19:9127717
CDKN1B,ENSG00000111276,cd4_tcm,0.288,2.58,12,11715057.0,13722371.0,12:11601912-12:12580594
CCDC66,ENSG00000180376,treg,0.284,-2.84,3,55557160.0,57619901.0,3:56399879-3:58171792
COPE,ENSG00000105669,nk_cd56bright,0.282,2.41,19,17899513.0,19919397.0,19:18299052-19:19766662
MPC1,ENSG00000060762,b_intermediate,0.281,2.43,6,165364918.0,167383013.0,6:165173375-6:166611245
CSRNP1,ENSG00000144655,mait,0.28,-2.93,3,38141854.0,40146722.0,3:38314625-3:40179807
MED10,ENSG00000133398,cd4_tcm,0.277,-2.65,5,5371880.0,7378594.0,5:5973120-5:7143105
TMEM50A,ENSG00000183726,cd4_tem,0.274,-3.22,1,24338213.0,26362248.0,1:25190354-1:27075376
CRIP1,ENSG00000213145,cd14_mono,0.273,3.19,14,104486316.0,106488947.0,14:104535386-14:105874495
SNX17,ENSG00000115234,b_naive,0.272,-3.13,2,26370495.0,28377230.0,2:26672117-2:28375910
MRPL23,ENSG00000214026,gdt,0.271,-3.33,11,947277.0,2972793.0,11:1192365-11:3644251
TNFRSF14,ENSG00000157873,nk_cd56bright,0.27,-3.07,1,1556696.0,3565382.0,1:1961168-1:3666172
YBX1,ENSG00000065978,nk,0.267,-2.98,1,41682426.0,43702349.0,1:41509656-1:43292786
RPL41,ENSG00000229117,cd4_naive,0.267,-3.96,12,55116585.0,57117943.0,12:55272053-12:57155077
TTC1,ENSG00000113312,treg,0.266,-2.75,5,159009112.0,161065543.0,5:159398690-5:160546937
EVI2B,ENSG00000185862,nk,0.266,-2.9,17,30303765.0,32314112.0,17:29007226-17:31459473
RBM6,ENSG00000004534,cd4_tcm,0.265,-4.65,3,48940006.0,51077252.0,3:49279539-3:51797999
UBC,ENSG00000150991,cd8_naive,0.263,2.78,12,123911603.0,125917368.0,12:124493434-12:125960959
MFF,ENSG00000168958,cd8_naive,0.262,-2.62,2,226325164.0,228357836.0,2:227255126-2:228506071
CIRBP,ENSG00000099622,cd8_tcm,0.261,-4.88,19,259383.0,2274880.0,19:610729-19:2098397
SZRD1,ENSG00000055070,cd14_mono,0.26,-3.26,1,15352574.0,17398145.0,1:14565015-1:16571235
ETS1,ENSG00000134954,cd4_naive,0.257,1.31,11,127458760.0,129587558.0,11:127446784-11:128318642
STRBP,ENSG00000165209,b_intermediate,0.257,3.01,9,122115763.0,124268576.0,9:122109043-9:124209608
FDX1,ENSG00000137714,mait,0.254,-2.36,11,109429882.0,111464881.0,11:109995390-11:111243672
PTP4A2,ENSG00000184007,gdt,0.254,4.32,1,30906420.0,32944856.0,1:31973084-1:34334157
C1D,ENSG00000197223,gdt,0.253,-1.94,2,67041129.0,69110948.0,2:66999034-2:67783044
GAS5,ENSG00000234741,gdt,0.252,-3.87,1,172863941.0,174868882.0,1:173128768-1:175120632
ETFA,ENSG00000140374,cd8_tem,0.251,2.92,15,75215354.0,77311472.0,15:76106283-15:78223711
BRK1,ENSG00000254999,cd4_ctl,0.25,2.85,3,9115591.0,11127190.0,3:9501499-3:10977979
ACAT1,ENSG00000075239,cd4_naive,0.25,-2.3,11,107121750.0,109147776.0,11:107973474-11:108566310
PPIE,ENSG00000084072,nk_cd56bright,0.25,-3.3,1,38692181.0,40763914.0,1:39734895-1:41509656
GOLPH3,ENSG00000113384,cd14_mono,0.25,-2.92,5,31124703.0,33174350.0,5:31390142-5:33500075
RPL27,ENSG00000131469,cd16_mono,0.249,-3.27,17,41998272.0,44002959.0,17:41743558-17:43694719
TTC3,ENSG00000182670,cd8_tem,0.246,2.62,21,36073225.0,38203112.0,21:36498481-21:37339402
IRF2BP2,ENSG00000168264,cd8_naive,0.246,2.9,1,233604268.0,235609525.0,1:234463688-1:235656136
TAF3,ENSG00000165632,cd16_mono,0.244,-2.66,10,6818503.0,9016627.0,10:7129522-10:8732702
ZDHHC21,ENSG00000175893,b_intermediate,0.243,2.73,9,13611070.0,15693471.0,9:12276489-9:14836365
NDUFA2,ENSG00000131495,cd14_mono,0.242,-3.2,5,139638739.0,141647769.0,5:139885487-5:141266403
CUTA,ENSG00000112514,cd16_mono,0.241,-2.99,6,32416453.0,34418317.0,6:33268720-6:35487979
C11orf1,ENSG00000137720,cd8_naive,0.24,3.14,11,110878934.0,112885975.0,11:111243672-11:112588765
BTN3A2,ENSG00000186470,gdt,0.24,-4.56,6,25365158.0,27378320.0,6:25684359-6:26791023
CASP8,ENSG00000064012,cd8_tem,0.232,-3.01,2,200233442.0,202287711.0,2:200711561-2:201953914
LSM10,ENSG00000181817,b_naive,0.231,-3.07,1,35391237.0,37397892.0,1:34334157-1:37083582
JCHAIN,ENSG00000132465,b_naive,0.23,-2.58,4,69655540.0,71681817.0,4:70183435-4:71274841
KIF5B,ENSG00000170759,cd4_tcm,0.229,2.2,10,31009009.0,33056431.0,10:31618591-10:33419040
STOML2,ENSG00000165283,nk_cd56bright,0.227,3.25,9,34099775.0,36103195.0,9:34642246-9:36743286
SNHG8,ENSG00000269893,b_naive,0.226,2.64,4,117278708.0,119279823.0,4:117558763-4:119012357
MFNG,ENSG00000100060,nk,0.226,-3.2,22,36469062.0,38486401.0,22:37174229-22:38911889
IFITM1,ENSG00000185885,cd4_tem,0.226,3.0,11,-686495.0,1314456.0,11:70855-11:1192365
GGA1,ENSG00000100083,gdt,0.226,-3.2,22,36608474.0,38633564.0,22:37174229-22:38911889
CDC42,ENSG00000070831,cd4_ctl,0.226,-3.22,1,21052626.0,23092946.0,1:21410095-1:22760390
CCDC18-AS1,ENSG00000223745,b_naive,0.225,3.6,1,92262185.0,94345887.0,1:93070902-1:94040635
TRMT10C,ENSG00000174173,cd4_naive,0.223,-4.16,3,100561861.0,102566446.0,3:100873373-3:103366116
SRP72,ENSG00000174780,b_intermediate,0.222,-2.86,4,55466914.0,57503107.0,4:55681477-4:58068842
TOMM6,ENSG00000214736,b_intermediate,0.222,3.01,6,40787661.0,42789895.0,6:40377376-6:42070983
SNU13,ENSG00000100138,nk_cd56bright,0.222,3.38,22,40673929.0,42690504.0,22:40149793-22:42294812
PARP8,ENSG00000151883,mait,0.221,-2.52,5,49665898.0,51846522.0,5:43983397-5:50867564
CD6,ENSG00000013725,cd4_tem,0.221,3.37,11,59971679.0,62020377.0,11:59013076-11:62456299
CORO7,ENSG00000262246,cd4_tcm,0.219,3.02,16,3354541.0,5425705.0,16:2714828-16:3951195
NOL7,ENSG00000225921,cd4_tcm,0.219,2.86,6,12615326.0,14621205.0,6:13209156-6:14802693
PRMT2,ENSG00000160310,b_naive,0.215,-2.58,21,45635166.0,47665124.0,21:46072312-21:46699840
GNB2,ENSG00000172354,nk,0.215,-3.52,7,99673530.0,101679174.0,7:99117851-7:100599028
C4orf3,ENSG00000164096,cd8_naive,0.214,2.59,4,118296418.0,120304445.0,4:117558763-4:119012357
GLRX3,ENSG00000108010,cd16_mono,0.214,1.99,10,129136398.0,131184521.0,10:129943063-10:130781981
SSBP4,ENSG00000130511,nk,0.214,-3.0,19,17418863.0,19434387.0,19:18299052-19:19766662
ENY2,ENSG00000120533,b_naive,0.21,-2.3,8,108334385.0,110345953.0,8:108235944-8:109472085
FTH1,ENSG00000167996,nk_cd56bright,0.21,-5.5,11,60959717.0,62967660.0,11:59013076-11:62456299
SNW1,ENSG00000100603,cd16_mono,0.21,2.17,14,76717598.0,78761207.0,14:78095602-14:79720236
AKIRIN1,ENSG00000174574,gdt,0.208,2.67,1,37991222.0,40006059.0,1:38266175-1:39734895
OTUD6B-AS1,ENSG00000253738,cd8_naive,0.207,2.79,8,90059908.0,92070189.0,8:89625933-8:92542158
NOP56,ENSG00000101361,nk_cd56bright,0.207,-2.51,20,1652144.0,3658393.0,20:2488855-20:3847766
SLC38A2,ENSG00000134294,mait,0.206,2.61,12,45358188.0,47372867.0,12:45630446-12:47321010
PILRA,ENSG00000085514,cd16_mono,0.205,-3.51,7,99373444.0,101400099.0,7:99117851-7:100599028
RPL4,ENSG00000174444,treg,0.205,-2.96,15,65498014.0,67524532.0,15:64812469-15:66802429
RNASEK,ENSG00000219200,b_memory,0.204,3.69,17,6012416.0,8014494.0,17:5838014-17:7414079
YWHAE,ENSG00000108953,cd8_naive,0.203,2.6,17,344271.0,2400378.0,17:1269105-17:2025437
ADCY7,ENSG00000121281,nk,0.203,-3.08,16,49246136.0,51313036.0,16:48974015-16:52001911
DNAJC15,ENSG00000120675,cd8_tem,0.201,2.87,13,42023202.0,44114224.0,13:42526891-13:44327273
POLR2E,ENSG00000099817,cd4_tcm,0.2,2.9,19,86628.0,2095380.0,19:610729-19:2098397
KDELR2,ENSG00000136240,cd8_tem,0.2,4.14,7,5461080.0,7484242.0,7:5814895-7:6534226
GPR108,ENSG00000125734,cd4_ctl,0.2,3.04,19,5729913.0,7737603.0,19:6684874-19:8282629
SLC3A2,ENSG00000168003,cd4_tcm,0.198,-3.07,11,61856101.0,63888875.0,11:62456299-11:64037097
SDHA,ENSG00000073578,cd8_tcm,0.195,2.36,5,-781760.0,1256700.0,5:11940-5:982137
SELENOT,ENSG00000198843,cd8_tcm,0.193,-2.73,3,149602874.0,151630445.0,3:149325450-3:150534217
TGOLN2,ENSG00000152291,gdt,0.193,3.32,2,84318019.0,86328425.0,2:84913556-2:87738988
HCLS1,ENSG00000180353,cd4_tem,0.193,2.47,3,120631398.0,122660927.0,3:120804208-3:122255250
MIDN,ENSG00000167470,cd8_tem,0.192,-4.77,19,248552.0,2259140.0,19:610729-19:2098397
RPS15,ENSG00000115268,cd4_naive,0.192,4.77,19,438357.0,2440494.0,19:610729-19:2098397
EID1,ENSG00000255302,cd4_tcm,0.192,2.73,15,47878054.0,49880183.0,15:47843851-15:49715846
MAP4K4,ENSG00000071054,cd14_mono,0.191,-2.49,2,100696849.0,102894689.0,2:101205867-2:102072305
DAP,ENSG00000112977,b_memory,0.191,-2.77,5,9679229.0,11761272.0,5:9718720-5:11173159
SSBP2,ENSG00000145687,nk_cd56bright,0.191,-2.37,5,80413020.0,82751797.0,5:81185652-5:82729829
ARID5B,ENSG00000150347,treg,0.19,1.11,10,60901299.0,63096944.0,10:60899921-10:61581937
GSPT1,ENSG00000103342,cd8_naive,0.188,2.64,16,10868127.0,12916082.0,16:11426305-16:12519241
MAP3K1,ENSG00000095015,cd14_mono,0.187,-2.59,5,55815573.0,57896152.0,5:56121522-5:57325275
SELL,ENSG00000188404,cd4_naive,0.185,-2.57,1,168690666.0,170711698.0,1:169117086-1:170588635
CNPY2,ENSG00000257727,cd16_mono,0.185,-8.18,12,55309841.0,57316222.0,12:55272053-12:57155077
SAT2,ENSG00000141504,b_memory,0.184,-2.73,17,6626233.0,8627876.0,17:5838014-17:7414079
TNRC6B,ENSG00000100354,cd14_mono,0.183,-2.77,22,39044816.0,41335808.0,22:38911889-22:40149793
ARL5A,ENSG00000162980,b_memory,0.183,1.94,2,150788983.0,152828492.0,2:150874948-2:151630268
HIKESHI,ENSG00000149196,cd4_tcm,0.182,2.79,11,85302210.0,87345931.0,11:84670229-11:86908259
FNBP1,ENSG00000187239,cd8_naive,0.181,2.56,9,128887186.0,131043194.0,9:129403191-9:130347830
YWHAB,ENSG00000166913,b_memory,0.18,-3.09,20,43885675.0,45908532.0,20:44051536-20:46210417
KXD1,ENSG00000105700,cd16_mono,0.179,-2.41,19,17557761.0,19569387.0,19:18299052-19:19766662
RPS27L,ENSG00000185088,cd4_tcm,0.177,2.73,15,62125871.0,64158021.0,15:62923023-15:64812469
GPS2,ENSG00000132522,b_naive,0.177,-3.27,17,6311323.0,8315564.0,17:5838014-17:7414079
AP3S1,ENSG00000177879,gdt,0.177,-2.29,5,114841858.0,116914081.0,5:114060588-5:115494673
PLEKHJ1,ENSG00000104886,mait,0.176,3.5,19,1233148.0,3237704.0,19:610729-19:2098397
CNPPD1,ENSG00000115649,cd16_mono,0.176,-3.17,2,218171896.0,220177922.0,2:217530757-2:219589829
RPS29,ENSG00000213741,b_intermediate,0.176,-3.22,14,48570983.0,50598696.0,14:48536268-14:50041042
RSU1,ENSG00000148484,cd8_tem,0.175,2.52,10,15590610.0,17817528.0,10:16509768-10:18248338
CSDE1,ENSG00000009307,cd4_tcm,0.175,2.42,1,113716912.0,115758676.0,1:114331223-1:115337972
PKM,ENSG00000067225,nk_cd56bright,0.172,2.74,15,71199028.0,73231822.0,15:71630310-15:73336373
LTA4H,ENSG00000111144,cd4_naive,0.172,2.46,12,95000827.0,97043520.0,12:95627009-12:96715061
TTC19,ENSG00000011295,cd4_ctl,0.171,-5.52,17,14999379.0,17045015.0,17:15115780-17:16509028
MYO1G,ENSG00000136286,b_memory,0.171,-2.81,7,43962661.0,45979098.0,7:43119475-7:44724229
NCOR1,ENSG00000141027,cd4_tem,0.171,-5.52,17,15029156.0,17216091.0,17:15115780-17:16509028
PTPRE,ENSG00000132334,cd16_mono,0.17,2.14,10,126907060.0,129085855.0,10:127356098-10:129046020
FDFT1,ENSG00000079459,cd8_tcm,0.169,2.98,8,10795572.0,12839309.0,8:11421489-8:13634266
SMARCE1,ENSG00000073584,treg,0.168,-2.33,17,39624961.0,41648299.0,17:40721152-17:41743558
PPIA,ENSG00000196262,b_memory,0.168,-2.8,7,43796679.0,45824564.0,7:43119475-7:44724229
CNIH1,ENSG00000100528,treg,0.167,-2.1,14,53423559.0,55441431.0,14:53531113-14:54766963
ITK,ENSG00000113263,cd4_tem,0.166,4.17,5,156180825.0,158255191.0,5:155946495-5:157201689
TMIGD2,ENSG00000167664,nk_cd56bright,0.165,-2.84,19,3292231.0,5302431.0,19:4348970-19:5811841
ATM,ENSG00000149311,cd8_naive,0.165,-2.06,11,107222483.0,109369102.0,11:107973474-11:108566310
NDUFS7,ENSG00000115286,b_memory,0.163,-4.5,19,383526.0,2394803.0,19:610729-19:2098397
TMEM35B,ENSG00000243749,cd4_naive,0.163,-2.88,1,33981534.0,35985353.0,1:34334157-1:37083582
PDCD2,ENSG00000071994,cd4_tem,0.162,-2.3,6,169575294.0,171584692.0,6:170014949-6:170742182
MPHOSPH10,ENSG00000124383,cd4_tcm,0.161,2.65,2,70130313.0,72150101.0,2:70528066-2:72947719
ZNF706,ENSG00000120963,cd8_tcm,0.161,2.94,8,100177877.0,102206193.0,8:100608730-8:103111078
IFI6,ENSG00000126709,cd8_tcm,0.16,-2.54,1,26666060.0,28672218.0,1:27075376-1:29689034
OAS3,ENSG00000111331,cd16_mono,0.16,2.6,12,111938351.0,113973249.0,12:112825713-12:113548904
RICTOR,ENSG00000164327,b_memory,0.159,2.15,5,37937918.0,40074408.0,5:38802308-5:40287627
SUCLG2,ENSG00000172340,b_intermediate,0.159,2.16,3,66360459.0,68654614.0,3:66220021-3:68237764
MRFAP1,ENSG00000179010,cd8_naive,0.156,2.1,4,5640090.0,7642745.0,4:6771316-4:7537965
XPA,ENSG00000136936,nk,0.156,2.82,9,96674908.0,98697357.0,9:96159758-9:98830577
C15orf61,ENSG00000189227,cd16_mono,0.152,2.49,15,66521067.0,68530143.0,15:66802429-15:68725660
RASSF5,ENSG00000266094,cd4_tem,0.152,-2.76,1,205507529.0,207589448.0,1:206268085-1:208237019
HHEX,ENSG00000152804,b_intermediate,0.152,2.62,10,91689950.0,93695646.0,10:91575290-10:93636611
SSR3,ENSG00000114850,cd8_tcm,0.152,2.38,3,155540139.0,157555184.0,3:154996429-3:156290911
DAPP1,ENSG00000070190,b_intermediate,0.151,2.35,4,98816832.0,100870154.0,4:99757203-4:102300199
SRP14,ENSG00000140319,mait,0.15,2.47,15,39035738.0,41039188.0,15:40091931-15:40885316
LMBRD1,ENSG00000168216,cd16_mono,0.15,2.46,6,68675801.0,70797111.0,6:68813556-6:70899807
NUDT1,ENSG00000106268,b_intermediate,0.149,2.37,7,1242221.0,3251146.0,7:2022763-7:2732593
POLR2J,ENSG00000005075,cd8_tem,0.149,-2.97,7,101473168.0,103478907.0,7:101555972-7:103557063
RNF167,ENSG00000108523,b_memory,0.149,-2.74,17,3940251.0,5945222.0,17:4792966-17:5838014
TPM4,ENSG00000167460,cd4_tem,0.149,-2.67,19,15067020.0,17103005.0,19:15537799-19:16263605
PPM1K,ENSG00000163644,cd8_naive,0.148,2.2,4,87257619.0,89284769.0,4:88316876-4:89310413
ABHD17A,ENSG00000129968,cd16_mono,0.148,2.92,19,876809.0,2885547.0,19:610729-19:2098397
RBCK1,ENSG00000125826,cd4_tcm,0.148,2.24,20,-592503.0,1430966.0,20:79838-20:716956
CYLD,ENSG00000083799,cd4_naive,0.145,-2.96,16,49742049.0,51801935.0,16:48974015-16:52001911
IQGAP2,ENSG00000145703,nk,0.144,2.67,5,75403248.0,77708132.0,5:74463501-5:76503041
FIP1L1,ENSG00000145216,cd16_mono,0.143,2.27,4,52377642.0,54458790.0,4:53011266-4:54563389
EIF3I,ENSG00000084623,cd14_mono,0.142,-3.68,1,31222018.0,33231604.0,1:31973084-1:34334157
TNFSF12,ENSG00000239697,cd14_mono,0.141,-3.5,17,6548890.0,8557819.0,17:7414079-17:8403107
RPL27A,ENSG00000166441,b_memory,0.141,-2.84,11,7682410.0,9714759.0,11:8311727-11:9065770
C1orf43,ENSG00000143612,mait,0.141,3.32,1,153206705.0,155220637.0,1:153208353-1:154797927
IL4R,ENSG00000077238,b_naive,0.14,-5.93,16,26314101.0,28364778.0,16:25975541-16:27434434
NAAA,ENSG00000138744,b_memory,0.139,2.79,4,74913656.0,76940949.0,4:73726673-4:76209554
ACP1,ENSG00000143727,nk,0.139,2.84,2,-735608.0,1278283.0,2:10133-2:1777250
EWSR1,ENSG00000182944,nk,0.139,2.42,22,28268008.0,30300525.0,22:27438791-22:29255810
DHRS7,ENSG00000100612,cd4_tcm,0.138,2.55,14,59148947.0,61169856.0,14:58981618-14:61213706
KLHDC4,ENSG00000104731,nk,0.138,2.67,16,86696484.0,88765992.0,16:87613743-16:88974757
CYP27A1,ENSG00000135929,cd14_mono,0.138,3.09,2,217781755.0,219815293.0,2:217530757-2:219589829
TCEA1,ENSG00000187735,cd16_mono,0.137,1.83,8,52966551.0,55022529.0,8:52390370-8:53505484
BID,ENSG00000015475,cd14_mono,0.136,-2.08,22,16734137.0,18774770.0,22:17193405-22:17813322
HSPA8,ENSG00000109971,nk_cd56bright,0.135,-2.26,11,122057488.0,124063230.0,11:122721202-11:123629409
ABHD12,ENSG00000100997,cd16_mono,0.135,-2.15,20,24294742.0,26390983.0,20:24737088-20:25363595
WIPF1,ENSG00000115935,gdt,0.134,-2.72,2,173559571.0,175682916.0,2:172274177-2:174724201
CCDC12,ENSG00000160799,nk,0.134,-2.48,3,45921725.0,47982010.0,3:45123661-3:46616010
GLTP,ENSG00000139433,cd4_ctl,0.134,2.51,12,108850942.0,110880488.0,12:108632125-12:109898914
SF3B5,ENSG00000169976,mait,0.133,2.65,6,143094880.0,145095573.0,6:141967342-6:144998674
CDC26,ENSG00000176386,nk_cd56bright,0.133,2.42,9,112255834.0,114273438.0,9:112930865-9:114257521
RPL3,ENSG00000100316,nk,0.133,-2.71,22,38312881.0,40320389.0,22:38911889-22:40149793
SON,ENSG00000159140,b_intermediate,0.133,2.24,21,32542892.0,34577481.0,21:33004691-21:33853161
SLA,ENSG00000155926,mait,0.133,2.14,8,132036723.0,134103054.0,8:132338897-8:133557758
AKAP9,ENSG00000127914,cd8_naive,0.132,2.41,7,90940866.0,93110673.0,7:91032469-7:92864438
RPS20,ENSG00000008988,cd16_mono,0.132,-2.54,8,55067294.0,57074581.0,8:56043824-8:58156092
UBE2K,ENSG00000078140,b_intermediate,0.132,-2.86,4,38698043.0,40782792.0,4:38905401-4:40200989
B2M,ENSG00000166710,cd4_ctl,0.132,2.93,15,43711476.0,45718877.0,15:43905851-15:46326589
ZRANB2,ENSG00000132485,cd8_naive,0.132,-0.507,1,70063290.0,72081297.0,1:70906787-1:71218722
TNFRSF1B,ENSG00000028137,nk,0.131,-2.51,1,11167038.0,13209228.0,1:11717784-1:12719464
GMCL1,ENSG00000087338,nk_cd56bright,0.131,-2.55,2,68829641.0,70881396.0,2:68912432-2:70528066
ADRM1,ENSG00000130706,cd4_tem,0.131,-3.93,20,61302092.0,63308855.0,20:60986668-20:62670503
NSD3,ENSG00000147548,cd4_naive,0.131,2.76,8,37269696.0,39382272.0,8:37521871-8:39081287
JUN,ENSG00000177606,cd4_naive,0.131,2.17,1,57780787.0,59784327.0,1:58399727-1:59424737
FOXP1,ENSG00000114861,cd4_naive,0.13,-2.31,3,69954692.0,72583989.0,3:70399877-3:72480178
ARHGAP45,ENSG00000180448,cd4_tcm,0.129,2.44,19,65922.0,2086578.0,19:80840-19:610729
SLU7,ENSG00000164609,cd16_mono,0.129,2.4,5,159401640.0,161421711.0,5:159398690-5:160546937
WASF2,ENSG00000158195,cd4_tcm,0.129,1.99,1,26404225.0,28490158.0,1:27075376-1:29689034
LCK,ENSG00000182866,cd4_ctl,0.129,2.7,1,31251238.0,33286165.0,1:31973084-1:34334157
LSP1,ENSG00000130592,cd8_tem,0.129,-3.0,11,852969.0,2892267.0,11:1192365-11:3644251
SMC3,ENSG00000108055,treg,0.129,2.37,10,109567690.0,111604636.0,10:108557947-10:110801735
KLHDC2,ENSG00000165516,mait,0.128,-3.08,14,48767607.0,50786385.0,14:48536268-14:50041042
KYNU,ENSG00000115919,cd14_mono,0.128,-2.23,2,141877497.0,144055832.0,2:141761033-2:143761915
RSL1D1,ENSG00000171490,b_memory,0.128,-2.35,16,10833849.0,12851585.0,16:11426305-16:12519241
KMT2A,ENSG00000118058,cd4_naive,0.128,4.36,11,117436489.0,119526832.0,11:117876395-11:119344766
TMUB1,ENSG00000164897,cd8_tcm,0.128,-2.6,7,150081079.0,152083546.0,7:151014417-7:152552721
CNN2,ENSG00000064666,cd8_tem,0.127,4.5,19,26580.0,2039068.0,19:610729-19:2098397
PCNX1,ENSG00000100731,cd8_tcm,0.127,-2.22,14,69907404.0,72115382.0,14:70665240-14:72422907
EIF3E,ENSG00000104408,cd4_naive,0.127,-1.98,8,107201742.0,109435333.0,8:108235944-8:109472085
CAPN1,ENSG00000014216,b_intermediate,0.127,3.09,11,64181193.0,66212006.0,11:64037097-11:66131160
RAB29,ENSG00000117280,cd16_mono,0.127,2.57,1,204767985.0,206775460.0,1:204711940-1:206268085
RPL22L1,ENSG00000163584,cd8_tem,0.126,-2.65,3,169864874.0,171870483.0,3:168863172-3:171247120
USP15,ENSG00000135655,nk_cd56bright,0.126,-2.42,12,61260337.0,63417431.0,12:60729948-12:63638681
LYRM4,ENSG00000214113,cd8_tcm,0.125,2.02,6,4102592.0,6260939.0,6:4617583-6:5791239
MYBL1,ENSG00000185697,mait,0.125,-2.61,8,65562174.0,67613294.0,8:65576855-8:68950822
MED28,ENSG00000118579,cd4_naive,0.125,-1.88,4,16614630.0,18634105.0,4:15925386-4:17381699
TBL1XR1,ENSG00000177565,cd16_mono,0.124,-1.74,3,176019339.0,178228000.0,3:175398750-3:176602499
EAPP,ENSG00000129518,mait,0.124,-2.06,14,33515928.0,35539711.0,14:31914059-14:34377045
CCT4,ENSG00000115484,b_memory,0.124,3.06,2,60868088.0,62888723.0,2:60064865-2:62201909
HNRNPA0,ENSG00000177733,cd14_mono,0.122,2.81,5,136745650.0,138754376.0,5:137040361-5:139885487
RAN,ENSG00000132341,gdt,0.122,2.52,12,129871878.0,131877678.0,12:129893376-12:131302206
BLOC1S4,ENSG00000186222,nk,0.121,-1.94,4,5716054.0,7717671.0,4:6771316-4:7537965
CIR1,ENSG00000138433,cd4_tem,0.121,-2.68,2,173348021.0,175395715.0,2:172274177-2:174724201
CREB5,ENSG00000146592,cd14_mono,0.12,-2.58,7,27299320.0,29825894.0,7:28320690-7:31097675
PIN1,ENSG00000127445,cd8_naive,0.12,-3.0,19,8835256.0,10849682.0,19:9127717-19:11173352
GSTO1,ENSG00000148834,b_memory,0.12,-2.75,10,103235355.0,105267459.0,10:102620653-10:104935290
IREB2,ENSG00000136381,cd16_mono,0.118,-2.46,15,77437430.0,79501456.0,15:76106283-15:78223711
MGMT,ENSG00000170430,cd4_tem,0.118,-1.09,10,128467183.0,130768007.0,10:129046020-10:129943063
PLGRKT,ENSG00000107020,mait,0.118,1.75,9,4357972.0,6437878.0,9:4495328-9:4884926
SARAF,ENSG00000133872,gdt,0.118,-2.55,8,29063011.0,31082424.0,8:29470379-8:31276213
PDIA6,ENSG00000143870,gdt,0.118,-2.62,2,9787280.0,11837977.0,2:10158342-2:12279024
FAM133B,ENSG00000234545,nk,0.117,-2.24,7,91560792.0,93590394.0,7:91032469-7:92864438
ILF2,ENSG00000143621,cd16_mono,0.117,3.26,1,152661830.0,154671048.0,1:153208353-1:154797927
TLE4,ENSG00000106829,cd16_mono,0.116,-1.75,9,78571772.0,80726882.0,9:78464139-9:79976013
LUC7L2,ENSG00000146963,b_intermediate,0.116,2.2,7,138340358.0,140423457.0,7:139059933-7:140233377
